episode,reward,episode_length,episode_time_s,success,progress_m,lap_time_s,best_lap_s,mean_speed_mps
126,351.36337,185,9.25,0,51.076023766434076,9.25,9.25,12.371404968202132
127,393.254915,169,8.450000000000001,0,55.923265835563825,8.450000000000001,8.450000000000001,12.853437508642696
128,417.294881,182,9.1,0,59.07483253853921,9.1,9.1,12.339753556251537
129,427.930894,188,9.4,0,60.56246876585561,9.4,9.4,12.069871151447314
130,369.240509,156,7.800000000000001,0,52.831683901238364,7.800000000000001,7.800000000000001,12.55612127333881
131,352.75008,158,7.9,0,50.77158213562347,7.9,7.9,11.90671773254873
132,437.49219,219,10.950000000000001,0,62.06464046663514,10.950000000000001,10.950000000000001,11.681774747371684
133,199.806054,153,7.65,0,31.846161310468943,7.65,7.65,8.325730356574075
134,448.974305,200,10.0,0,63.280015838847575,10.0,10.0,12.813782666623613
135,414.501379,195,9.75,0,58.90915752082037,9.75,9.75,12.507108740508576
136,431.316306,191,9.55,0,60.83534628618843,9.55,9.55,12.222671248018756
137,130.454494,112,5.6000000000000005,0,22.47358758867874,5.6000000000000005,5.6000000000000005,8.309061862528335
138,442.779787,198,9.9,0,62.4998640911144,9.9,9.9,10.937586812675018
139,434.139327,188,9.4,0,61.24013699452261,9.4,9.4,9.997885233163847
140,423.19834,213,10.65,0,60.28426041925692,10.65,10.65,9.906616285443326
141,454.768177,209,10.450000000000001,0,64.14347313165332,10.450000000000001,10.450000000000001,11.605387920141235
142,188.875713,125,6.25,0,29.952375216629843,6.25,6.25,9.032615876197827
143,446.936016,224,11.200000000000001,0,63.280015838847575,11.200000000000001,11.200000000000001,10.81166852563621
144,132.720484,133,6.65,0,23.011232759173826,6.65,6.65,7.729766982793814
145,325.907472,204,10.200000000000001,0,47.90320326989315,10.200000000000001,10.200000000000001,9.977960877120502
146,423.064525,184,9.200000000000001,0,59.85189793104514,9.200000000000001,9.200000000000001,10.500502355396762
147,419.958423,209,10.450000000000001,0,59.550621996702446,10.450000000000001,10.450000000000001,10.574074816703812
148,272.594478,165,8.25,0,40.67043151765358,8.25,8.25,9.63257916569711
149,449.760925,219,10.950000000000001,0,63.44565177954537,10.950000000000001,10.950000000000001,10.592393794655816
150,449.519058,186,9.3,0,63.11774528441377,9.3,9.3,12.024108155071746
151,466.143049,222,11.100000000000001,0,65.71524258973955,11.100000000000001,11.100000000000001,12.660380910336984
152,463.943848,207,10.350000000000001,0,65.09826077114653,10.350000000000001,10.350000000000001,10.428011021018044
153,440.813012,183,9.15,0,62.06464046663514,9.15,9.15,11.5373128116131
154,522.879737,225,11.25,0,72.68849738087086,11.25,11.25,11.181800521910208
155,411.775403,204,10.200000000000001,0,58.566319851772874,10.200000000000001,10.200000000000001,10.542083148658294
156,449.350541,185,9.25,0,63.11774528441377,9.25,9.25,12.204965262115019
157,450.042384,179,8.950000000000001,0,63.11774528441377,8.950000000000001,8.950000000000001,12.504705002903954
158,455.408172,233,11.65,0,64.32702310270166,11.65,11.65,11.644561198353781
159,480.601922,209,10.450000000000001,0,67.27595186435731,10.450000000000001,10.450000000000001,11.786072708666342
160,442.593359,204,10.200000000000001,0,62.4998640911144,10.200000000000001,10.200000000000001,12.392910584807412
161,459.098977,182,9.1,0,64.32702310270166,9.1,9.1,12.973225803673287
162,324.92963,159,7.95,0,47.57217925240592,7.95,7.95,10.24357556998731
163,588.17541,224,11.200000000000001,0,81.10463275500058,11.200000000000001,11.200000000000001,15.135726338624979
164,442.191954,197,9.850000000000001,0,62.35242372869508,9.850000000000001,9.850000000000001,10.863220117986222
165,272.855659,149,7.45,0,40.67043151765358,7.45,7.45,10.102176368236556
166,207.015737,126,6.300000000000001,0,32.16808302818729,6.300000000000001,6.300000000000001,11.152457651495945
167,427.45805,172,8.6,0,60.142418934913266,8.6,8.6,12.655455131828804
168,429.877574,183,9.15,0,60.69942091914157,9.15,9.15,13.019341863691823
169,424.953636,175,8.75,0,60.142418934913266,8.75,8.75,13.090920916199703
170,454.457033,192,9.600000000000001,0,63.78737538051568,9.600000000000001,9.600000000000001,12.959411005675816
171,445.453186,181,9.05,0,62.4998640911144,9.05,9.05,12.496236433088798
172,420.609617,180,9.0,0,59.39539952841593,9.0,9.0,10.777003732323662
173,442.130168,181,9.05,0,62.2074222607671,9.05,9.05,13.861974419653428
174,197.406268,132,6.6000000000000005,0,31.207653031372956,6.6000000000000005,6.6000000000000005,9.168962743878376
175,214.152608,126,6.300000000000001,0,33.144251539058736,6.300000000000001,6.300000000000001,10.918148683011545
176,442.862373,177,8.85,0,62.2074222607671,8.85,8.85,12.807717615365995
